country,region,region_code,start_date,end_date,year,week,population,total_deaths
Mexico,Mexico City,MX-CMX,03/02/2020,09/02/2020,2020,6,8918653,
Mexico,Mexico City,MX-CMX,10/02/2020,16/02/2020,2020,7,8918653,
Mexico,Mexico City,MX-CMX,17/02/2020,23/02/2020,2020,8,8918653,
Mexico,Mexico City,MX-CMX,24/02/2020,01/03/2020,2020,9,8918653,
Mexico,Mexico City,MX-CMX,02/03/2020,08/03/2020,2020,10,8918653,1430
Mexico,Mexico City,MX-CMX,09/03/2020,15/03/2020,2020,11,8918653,1550
Mexico,Mexico City,MX-CMX,16/03/2020,22/03/2020,2020,12,8918653,1407
Mexico,Mexico City,MX-CMX,23/03/2020,29/03/2020,2020,13,8918653,1499
Mexico,Mexico City,MX-CMX,30/03/2020,05/04/2020,2020,14,8918653,1491
Mexico,Mexico City,MX-CMX,06/04/2020,12/04/2020,2020,15,8918653,1624
Mexico,Mexico City,MX-CMX,13/04/2020,19/04/2020,2020,16,8918653,1828
Mexico,Mexico City,MX-CMX,20/04/2020,26/04/2020,2020,17,8918653,2475
Mexico,Mexico City,MX-CMX,27/04/2020,03/05/2020,2020,18,8918653,3508
Mexico,Mexico City,MX-CMX,04/05/2020,10/05/2020,2020,19,8918653,4127
Mexico,Mexico City,MX-CMX,11/05/2020,17/05/2020,2020,20,8918653,4188
Mexico,Mexico City,MX-CMX,18/05/2020,24/05/2020,2020,21,8918653,4313
Mexico,Mexico City,MX-CMX,25/05/2020,31/05/2020,2020,22,8918653,3840
Mexico,Mexico City,MX-CMX,01/06/2020,07/06/2020,2020,23,8918653,3815
Mexico,Mexico City,MX-CMX,08/06/2020,14/06/2020,2020,24,8918653,3494
Mexico,Mexico City,MX-CMX,15/06/2020,21/06/2020,2020,25,8918653,3231
Mexico,Mexico City,MX-CMX,22/06/2020,28/06/2020,2020,26,8918653,2728
Mexico,Mexico City,MX-CMX,29/06/2020,05/07/2020,2020,27,8918653,2707
Mexico,Mexico City,MX-CMX,06/07/2020,12/07/2020,2020,28,8918653,2478
Mexico,Mexico City,MX-CMX,13/07/2020,19/07/2020,2020,29,8918653,2417
Mexico,Mexico City,MX-CMX,20/07/2020,26/07/2020,2020,30,8918653,2214
Mexico,Mexico City,MX-CMX,27/07/2020,02/08/2020,2020,31,8918653,2269
Mexico,Mexico City,MX-CMX,03/08/2020,09/08/2020,2020,32,8918653,2337
Mexico,Mexico City,MX-CMX,10/08/2020,16/08/2020,2020,33,8918653,2338
Mexico,Mexico City,MX-CMX,17/08/2020,23/08/2020,2020,34,8918653,2446
Mexico,Mexico City,MX-CMX,24/08/2020,30/08/2020,2020,35,8918653,
Mexico,Mexico City,MX-CMX,31/08/2020,06/09/2020,2020,36,8918653,
Mexico,Mexico City,MX-CMX,07/09/2020,13/09/2020,2020,37,8918653,
Mexico,Mexico City,MX-CMX,14/09/2020,20/09/2020,2020,38,8918653,
Mexico,Mexico City,MX-CMX,21/09/2020,27/09/2020,2020,39,8918653,
Mexico,Mexico City,MX-CMX,28/09/2020,04/10/2020,2020,40,8918653,
Mexico,Mexico City,MX-CMX,05/10/2020,11/10/2020,2020,41,8918653,
Mexico,Mexico City,MX-CMX,12/10/2020,18/10/2020,2020,42,8918653,
Mexico,Mexico City,MX-CMX,19/10/2020,25/10/2020,2020,43,8918653,
Mexico,Mexico City,MX-CMX,26/10/2020,01/11/2020,2020,44,8918653,
Mexico,Mexico City,MX-CMX,02/11/2020,08/11/2020,2020,45,8918653,
Mexico,Mexico City,MX-CMX,09/11/2020,15/11/2020,2020,46,8918653,
Mexico,Mexico City,MX-CMX,16/11/2020,22/11/2020,2020,47,8918653,
Mexico,Mexico City,MX-CMX,23/11/2020,29/11/2020,2020,48,8918653,
Mexico,Mexico City,MX-CMX,30/11/2020,06/12/2020,2020,49,8918653,
Mexico,Mexico City,MX-CMX,07/12/2020,13/12/2020,2020,50,8918653,
Mexico,Mexico City,MX-CMX,14/12/2020,20/12/2020,2020,51,8918653,
Mexico,Mexico City,MX-CMX,21/12/2020,27/12/2020,2020,52,8918653,
